id,name,image,preview,duration,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,chord,published
0wIhWLNLIOmzQ89B3rtTd3,It's Not Over,https://i.scdn.co/image/ab67616d0000b2730b9c38fede4b4c41f419cc8e,https://p.scdn.co/mp3-preview/72843897acafc8b47af3ab79358349c5e08adefd?cid=9950ac751e34487dbbe027c4fd7f8e99,215026,0,58,0.426,0.92,-3.243,0.0599,0.0559,0,0.245,0.296,145.944,10,2006-11-20
4ECvB9frSDegHfKNRh9dwT,4ever,https://i.scdn.co/image/ab67616d0000b273dd5ead55bbde87d6f73b86ef,https://p.scdn.co/mp3-preview/a1fd9db0129ec6350cf5693e51d20d245aa4f096?cid=9950ac751e34487dbbe027c4fd7f8e99,208973,0,58,0.581,0.857,-2.21,0.0627,0.00168,0.000166,0.0967,0.565,145.941,5,2005-10-18
275KAjHjZOtnTVWZ2Kcr7k,Walking On The Moon,https://i.scdn.co/image/ab67616d0000b273032ecf340e696eeb51b0e7a3,,301813,0,0,0.658,0.355,-13.634,0.0405,0.00638,0.00598,0.228,0.417,145.928,2,2002-01-01
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,https://i.scdn.co/image/ab67616d0000b273ec7e2c5c7ecd29301f1c4b93,https://p.scdn.co/mp3-preview/6c1f5377ae30c65577835dce021c23bcf198591f?cid=9950ac751e34487dbbe027c4fd7f8e99,210373,0,77,0.438,0.71,-12.412,0.0919,0.262,0.537,0.221,0.53,145.928,2,1968
2J22VgQALSoekF3KCj1nIk,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),https://i.scdn.co/image/ab67616d0000b2733ca397d1402604db8256d98f,,226760,0,0,0.637,0.416,-7.595,0.0269,0.434,0,0.139,0.588,145.922,2,2011-03-08
41L3O37CECZt3N7ziG2z7l,Yummy,https://i.scdn.co/image/ab67616d0000b27360eec5a0953d4a33d77ed71d,https://p.scdn.co/mp3-preview/888b7f693aa76d6e555601c732f818fab0899f11?cid=9950ac751e34487dbbe027c4fd7f8e99,210426,0,69,0.687,0.514,-6.612,0.0897,0.366,0,0.116,0.494,145.921,9,2020-01-03
5xC8uOesnn0udeXAYlAnoY,Alright,https://i.scdn.co/image/ab67616d0000b2737d2fd2378160e40c96bc61ff,https://p.scdn.co/mp3-preview/a1b115a756302d90d3d153b15694c8d9243ea5af?cid=9950ac751e34487dbbe027c4fd7f8e99,180880,0,77,0.467,0.958,-4.808,0.0775,0.000479,0.199,0.299,0.701,145.92,4,1995-05-15
3hb2ScEVkGchcAQqrPLP0R,Photograph,https://i.scdn.co/image/ab67616d0000b27307fb7d8037f3962394c493ca,https://p.scdn.co/mp3-preview/18759c470fdb1a0cc7fcbd2069f0045f27c73aa7?cid=9950ac751e34487dbbe027c4fd7f8e99,258920,0,72,0.515,0.876,-3.756,0.0292,0.000932,0.000166,0.136,0.385,145.916,8,2005-09-26
24y3tSyLdRbpVsKhQrR2oj,Never Again,https://i.scdn.co/image/ab67616d0000b2734ded83be3055a4884d131009,https://p.scdn.co/mp3-preview/f2ffb0093a3d6751d563383f8352a4b81f2c4769?cid=9950ac751e34487dbbe027c4fd7f8e99,217293,0,50,0.514,0.91,-2.978,0.0714,0.00168,0.00187,0.224,0.472,145.907,7,2007
7IByJvSqRFltGyiiIiL4wn,Who You Love (feat. Katy Perry),https://i.scdn.co/image/ab67616d0000b2738e3ab1cbd76d15dc64450a13,https://p.scdn.co/mp3-preview/0dea97918e8c65bb990cf78498309bc804f915d1?cid=9950ac751e34487dbbe027c4fd7f8e99,249933,0,67,0.694,0.351,-10.92,0.0382,0.813,0.00165,0.097,0.691,145.907,9,2013-08-20
26rdOwwjC2UnweK3xeS58u,GDFR (feat. Sage the Gemini & Lookas),https://i.scdn.co/image/ab67616d0000b2737947bf3e8af32378de181b41,https://p.scdn.co/mp3-preview/6316ccb80845938fad240c7e9d560b997c742544?cid=9950ac751e34487dbbe027c4fd7f8e99,190185,0,73,0.657,0.827,-4.036,0.0734,0.000704,0.00534,0.065,0.69,145.889,5,2015-04-07
6N9ZOtguCnnrvwH7zD82WJ,GDFR (feat. Sage the Gemini & Lookas),https://i.scdn.co/image/ab67616d0000b27376fccee22eee09fef524be97,https://p.scdn.co/mp3-preview/6316ccb80845938fad240c7e9d560b997c742544?cid=9950ac751e34487dbbe027c4fd7f8e99,190185,0,60,0.657,0.827,-4.036,0.0734,0.000704,0.00534,0.065,0.69,145.889,5,2014-09-29
